Model,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Overfitting
Polynomial Regression (degree=3),141.58720918825762,2312.6373059389716,8.180843685672308,19.740176144262623,0.9961000474031687,0.9319841977883367,0.06411584961483197
Polynomial Regression (degree=2),399.4188329991379,2501.5830871451844,11.734011853933502,20.479740098957542,0.9889981974790735,0.9264272093015355,0.06257098817753792
Ridge Regression (alpha=1.0),9956.736914546647,7975.465050559695,69.2787061560565,64.53946089382431,0.7257463989263176,0.7654376447046661,-0.03969124577834848
Linear Regression,9427.980424444086,8927.037744219962,71.9110095961351,74.89253996129851,0.7403107459354112,0.737451423105712,0.0028593228296992512
